数据集划分信息
============================================================

总文件数: 737
训练集: 589 (79.9%)
验证集: 73 (9.9%)
测试集: 75 (10.2%)

训练集文件列表:
------------------------------------------------------------
12200_20251205_07-49-02_rot-10.0.jpeg	12200_20251205_07-49-02_rot-10.0.xml
2026-01-04_17:01:35_10.10.2.200_rot-6.0.jpeg	2026-01-04_17:01:35_10.10.2.200_rot-6.0.xml
12200_20251204_08-04-35_rot-6.0.jpeg	12200_20251204_08-04-35_rot-6.0.xml
2025-12-03_08:01:06_10.10.2.200_rot-6.0.jpeg	2025-12-03_08:01:06_10.10.2.200_rot-6.0.xml
12200_20251205_07-14-32_rot-10.0.jpeg	12200_20251205_07-14-32_rot-10.0.xml
2025-12-10_07-01-16_10.10.2.200_rot-6.0.jpeg	2025-12-10_07-01-16_10.10.2.200_rot-6.0.xml
12200_20251204_08-40-51_rot-6.0.jpeg	12200_20251204_08-40-51_rot-6.0.xml
2025-12-10_12-01-47_10.10.2.200_rot-6.0.jpeg	2025-12-10_12-01-47_10.10.2.200_rot-6.0.xml
2025-12-12_14-01-36_10.10.2.200_rot-6.0.jpeg	2025-12-12_14-01-36_10.10.2.200_rot-6.0.xml
2026-01-07_07:01:19_10.10.2.200_rot-6.0.jpeg	2026-01-07_07:01:19_10.10.2.200_rot-6.0.xml
2025-12-05_11:01:37_10.10.2.200_rot-6.0.jpeg	2025-12-05_11:01:37_10.10.2.200_rot-6.0.xml
12200_20251205_07-32-32_rot-10.0.jpeg	12200_20251205_07-32-32_rot-10.0.xml
2025-12-29_13:01:43_10.10.2.200_rot-6.0.jpeg	2025-12-29_13:01:43_10.10.2.200_rot-6.0.xml
12200_20251204_08-16-35_rot-6.0.jpeg	12200_20251204_08-16-35_rot-6.0.xml
12200_20251205_09-54-53_rot-10.0.jpeg	12200_20251205_09-54-53_rot-10.0.xml
2025-12-24_12:01:38_10.10.2.200_rot-6.0.jpeg	2025-12-24_12:01:38_10.10.2.200_rot-6.0.xml
12200_20251205_07-55-32_rot-10.0.jpeg	12200_20251205_07-55-32_rot-10.0.xml
12200_20251204_08-47-31_rot-6.0.jpeg	12200_20251204_08-47-31_rot-6.0.xml
12200_20251205_08-28-02_rot-10.0.jpeg	12200_20251205_08-28-02_rot-10.0.xml
2025-12-02_11:01:37_10.10.2.200_rot-6.0.jpeg	2025-12-02_11:01:37_10.10.2.200_rot-6.0.xml
12200_20251205_06-46-32_rot-10.0.jpeg	12200_20251205_06-46-32_rot-10.0.xml
12200_20251204_08-07-26_rot-6.0.jpeg	12200_20251204_08-07-26_rot-6.0.xml
12200_20251204_08-10-48_rot-6.0.jpeg	12200_20251204_08-10-48_rot-6.0.xml
12200_20251205_06-55-02_rot-10.0.jpeg	12200_20251205_06-55-02_rot-10.0.xml
12200_20251204_08-40-35_rot-6.0.jpeg	12200_20251204_08-40-35_rot-6.0.xml
12200_20251204_08-25-31_rot-6.0.jpeg	12200_20251204_08-25-31_rot-6.0.xml
12200_20251204_08-51-35_rot-6.0.jpeg	12200_20251204_08-51-35_rot-6.0.xml
2025-12-24_13:01:42_10.10.2.200_rot-6.0.jpeg	2025-12-24_13:01:42_10.10.2.200_rot-6.0.xml
10.10.2.200_01_20251209094931451_rot-6.0.jpg	10.10.2.200_01_20251209094931451_rot-6.0.xml
2025-12-23_11:01:33_10.10.2.200_rot-6.0.jpeg	2025-12-23_11:01:33_10.10.2.200_rot-6.0.xml
2025-12-10_16-01-39_10.10.2.200_rot-6.0.jpeg	2025-12-10_16-01-39_10.10.2.200_rot-6.0.xml
2025-12-12_09-01-26_10.10.2.200_rot-6.0.jpeg	2025-12-12_09-01-26_10.10.2.200_rot-6.0.xml
12200_20251205_07-43-32_rot-10.0.jpeg	12200_20251205_07-43-32_rot-10.0.xml
12200_20251205_07-34-32_rot-10.0.jpeg	12200_20251205_07-34-32_rot-10.0.xml
2025-12-26_13:01:37_10.10.2.200_rot-6.0.jpeg	2025-12-26_13:01:37_10.10.2.200_rot-6.0.xml
12200_20251205_07-27-02_rot-10.0.jpeg	12200_20251205_07-27-02_rot-10.0.xml
12200_20251205_09-49-23_rot-10.0.jpeg	12200_20251205_09-49-23_rot-10.0.xml
2026-01-06_09:01:14_10.10.2.200_rot-6.0.jpeg	2026-01-06_09:01:14_10.10.2.200_rot-6.0.xml
12200_20251205_06-48-02_rot-10.0.jpeg	12200_20251205_06-48-02_rot-10.0.xml
12200_20251205_08-32-32_rot-10.0.jpeg	12200_20251205_08-32-32_rot-10.0.xml
12200_20251204_08-24-01_rot-6.0.jpeg	12200_20251204_08-24-01_rot-6.0.xml
2025-12-26_12:01:41_10.10.2.200_rot-6.0.jpeg	2025-12-26_12:01:41_10.10.2.200_rot-6.0.xml
12200_20251205_07-54-02_rot-10.0.jpeg	12200_20251205_07-54-02_rot-10.0.xml
12200_20251204_08-39-05_rot-6.0.jpeg	12200_20251204_08-39-05_rot-6.0.xml
12200_20251205_06-47-32_rot-10.0.jpeg	12200_20251205_06-47-32_rot-10.0.xml
2025-12-26_14:01:42_10.10.2.200_rot-6.0.jpeg	2025-12-26_14:01:42_10.10.2.200_rot-6.0.xml
12200_20251205_06-49-02_rot-10.0.jpeg	12200_20251205_06-49-02_rot-10.0.xml
12200_20251204_08-55-35_rot-6.0.jpeg	12200_20251204_08-55-35_rot-6.0.xml
12200_20251205_09-53-53_rot-10.0.jpeg	12200_20251205_09-53-53_rot-10.0.xml
12200_20251204_08-48-33_rot-6.0.jpeg	12200_20251204_08-48-33_rot-6.0.xml
12200_20251205_08-22-02_rot-10.0.jpeg	12200_20251205_08-22-02_rot-10.0.xml
12200_20251204_08-44-05_rot-6.0.jpeg	12200_20251204_08-44-05_rot-6.0.xml
2026-01-07_06:01:31_10.10.2.200_rot-6.0.jpeg	2026-01-07_06:01:31_10.10.2.200_rot-6.0.xml
2025-12-26_06:01:37_10.10.2.200_rot-6.0.jpeg	2025-12-26_06:01:37_10.10.2.200_rot-6.0.xml
2025-12-02_06:01:41_10.10.2.200_rot-6.0.jpeg	2025-12-02_06:01:41_10.10.2.200_rot-6.0.xml
2025-12-27_13:01:33_10.10.2.200_rot-6.0.jpeg	2025-12-27_13:01:33_10.10.2.200_rot-6.0.xml
12200_20251205_07-03-32_rot-10.0.jpeg	12200_20251205_07-03-32_rot-10.0.xml
12200_20251205_10-09-23_rot-10.0.jpeg	12200_20251205_10-09-23_rot-10.0.xml
12200_20251205_07-26-32_rot-10.0.jpeg	12200_20251205_07-26-32_rot-10.0.xml
12200_20251205_07-24-02_rot-10.0.jpeg	12200_20251205_07-24-02_rot-10.0.xml
2025-12-05_13:01:36_10.10.2.200_rot-6.0.jpeg	2025-12-05_13:01:36_10.10.2.200_rot-6.0.xml
2025-12-02_12:01:31_10.10.2.200_rot-6.0.jpeg	2025-12-02_12:01:31_10.10.2.200_rot-6.0.xml
12200_20251205_07-06-32_rot-10.0.jpeg	12200_20251205_07-06-32_rot-10.0.xml
12200_20251204_08-20-21_rot-6.0.jpeg	12200_20251204_08-20-21_rot-6.0.xml
12200_20251204_08-54-35_rot-6.0.jpeg	12200_20251204_08-54-35_rot-6.0.xml
12200_20251205_08-35-32_rot-10.0.jpeg	12200_20251205_08-35-32_rot-10.0.xml
2025-12-18_08_01_48_10.10.2.200_rot-6.0.jpeg	2025-12-18_08_01_48_10.10.2.200_rot-6.0.xml
2026-01-05_09:01:34_10.10.2.200_rot-6.0.jpeg	2026-01-05_09:01:34_10.10.2.200_rot-6.0.xml
12200_20251205_09-56-23_rot-10.0.jpeg	12200_20251205_09-56-23_rot-10.0.xml
12200_20251205_10-03-53_rot-10.0.jpeg	12200_20251205_10-03-53_rot-10.0.xml
2025-12-14_10-01-34_10.10.2.200_rot-6.0.jpeg	2025-12-14_10-01-34_10.10.2.200_rot-6.0.xml
12200_20251204_08-28-05_rot-6.0.jpeg	12200_20251204_08-28-05_rot-6.0.xml
12200_20251205_07-14-02_rot-10.0.jpeg	12200_20251205_07-14-02_rot-10.0.xml
12200_20251205_09-51-53_rot-10.0.jpeg	12200_20251205_09-51-53_rot-10.0.xml
12200_20251205_08-06-32_rot-10.0.jpeg	12200_20251205_08-06-32_rot-10.0.xml
2025-12-01_15:21:08_10.10.2.200_rot-6.0.jpeg	2025-12-01_15:21:08_10.10.2.200_rot-6.0.xml
12200_20251205_07-19-32_rot-10.0.jpeg	12200_20251205_07-19-32_rot-10.0.xml
12200_20251205_07-13-32_rot-10.0.jpeg	12200_20251205_07-13-32_rot-10.0.xml
2026-01-05_11:01:28_10.10.2.200_rot-6.0.jpeg	2026-01-05_11:01:28_10.10.2.200_rot-6.0.xml
12200_20251204_08-53-35_rot-6.0.jpeg	12200_20251204_08-53-35_rot-6.0.xml
12200_20251204_08-16-51_rot-6.0.jpeg	12200_20251204_08-16-51_rot-6.0.xml
2025-12-04_12:01:33_10.10.2.200_rot-6.0.jpeg	2025-12-04_12:01:33_10.10.2.200_rot-6.0.xml
2026-01-05_15:02:02_10.10.2.200_rot-6.0.jpeg	2026-01-05_15:02:02_10.10.2.200_rot-6.0.xml
12200_20251204_08-43-51_rot-6.0.jpeg	12200_20251204_08-43-51_rot-6.0.xml
12200_20251204_08-41-35_rot-6.0.jpeg	12200_20251204_08-41-35_rot-6.0.xml
2026-01-07_12:01:41_10.10.2.200_rot-6.0.jpeg	2026-01-07_12:01:41_10.10.2.200_rot-6.0.xml
2025-12-02_10:01:24_10.10.2.200_rot-6.0.jpeg	2025-12-02_10:01:24_10.10.2.200_rot-6.0.xml
12200_20251205_08-43-32_rot-10.0.jpeg	12200_20251205_08-43-32_rot-10.0.xml
2025-12-08_08:01:39_10.10.2.200_rot-10.0.jpeg	2025-12-08_08:01:39_10.10.2.200_rot-10.0.xml
12200_20251205_09-57-23_rot-10.0.jpeg	12200_20251205_09-57-23_rot-10.0.xml
10.10.2.200_01_20251030152739295_rot-6.0.jpeg	10.10.2.200_01_20251030152739295_rot-6.0.xml
12200_20251204_08-38-21_rot-6.0.jpeg	12200_20251204_08-38-21_rot-6.0.xml
12200_20251204_08-23-31_rot-6.0.jpeg	12200_20251204_08-23-31_rot-6.0.xml
